Year,Fort Chip DDF,Fort Verm DDF,Fort Smith,GP-BL Precip pct Avg,BL Precip,Flood,AllLM,AllLMS,FloodMag,MeltTest
1915,-2332.099254,-2542,-2925.95,0.503153004,75.8,0,0,0,N,25
1916,-2951.221258,-3179.5,-3435.978101,0.432127448,65.1,0,0,0,N,16
1918,-3190.05,-3451.75,-3670.649771,1.184865582,178.5,0,0,0,N,16
1919,-2637.8,-3000.25,-3166.6,1.383338865,208.4,0,1,1,M,19
1920,-2965.95,-3404.9,-3340.2,2.288084965,344.7,1,1,1,L,17
1921,-2667.1,-3075.9,-3121.15,0.779953535,117.5,0,0,0,N,21
1922,-2877,-2920.1,-3390.8,1.008297378,151.9,0,1,1,M,16
1923,-3194.85,-3125,-3615.65,0.744772652,112.2,0,0,0,N,17
1924,-2712.9,-2629.5,-2955.5,0.621307667,93.6,0,0,0,N,12
1925,-3178.55,-3078.35,-3601.9,1.334218387,201,0,0,1,S,24
1926,-2493.65,-2266.85,-2932.6,1.231330899,185.5,0,1,1,M,29
1927,-2618.75,-2644.85,-3170.9,1.202787919,181.2,0,0,1,U,18
1928,-2748.4,-2857.9,-3537.95,1.391968138,209.7,0,0,1,U,26
1929,-2618.95,-2538.9,,1.074012612,161.8,0,0,0,N,16
1930,-2389.45,-2489.55,-2949.65,0.716893462,108,0,0,1,S,24
1931,-2126.85,-2071.15,-2417.95,0.550945901,83,0,0,0,N,18
1932,-2840.45,-2805.15,-3014.5,1.400597411,211,1,1,1,L,22
1933,-3404.65,-3372.9,-3607.25,1.385330236,208.7,1,1,1,L,16
1934,-3254.1,-3266.85,-3519.162118,2.011284434,303,1,1,1,L,14
1935,-2988.85,-3086.7,-3240.8,1.581812147,238.3,0,0,1,S,20
1936,-3520.45,-3554.85,-3967.7,1.240623963,186.9,0,0,1,S,19
1937,-2676.85,-2575.65,-2908.5,0.845004978,127.3,0,1,1,M,21
1939,-2952.65,-2711.15,-3194.912727,1.509459011,227.4,0,0,0,N,14
1940,-2169.8,-2084.8,-2507.242715,1.241287753,187,0,0,1,S,17
1941,-2569.23807,-2554.85,-2706.95,0.963159642,145.1,0,1,1,M,18
1943,-2889.80275,-2847.55,-3037.175,1.055426485,169.6,1,1,1,L,14
1944,-2089.463543,-1873.25,-2228.9,0.514437438,94.9,0,0,0,N,17
1945,-2512.831116,-2182.7,-2659.4,1.093262529,198.3,0,0,0,N,15
1946,-3031.503241,-2841,-3162.627273,0.788582808,146.7,0,0,0,N,14
1947,-3454.277819,-3116.7,-3611.675,1.675406572,244.7,0,0,0,N,13
1949,-2834.174916,-2711.5,-2970.2,1.025555924,151.9,0,0,0,N,17
1950,-3282.908397,-2978.1,-3437.8,0.990375041,125.4,0,0,0,N,12
1951,-3189.731981,-3056,-3341.75,1.349485563,234.8,0,0,1,U,11
1952,-3305.561327,-3147.325,-3457.25,1.706604713,196.2,0,0,0,N,18
1953,-2406.694639,-2012.3,-2550.55,0.957185529,157.5,0,0,0,N,13
1954,-3129.143344,-2752.95,-3275.75,1.189512114,172.7,0,0,0,N,11
1955,-2738.780995,-2420.85,-2879.6,0.749419184,110.9,0,0,0,N,31
1956,-3273.651787,-3093.95,-3423.35,1.447726518,188.5,0,0,0,N,24
1957,-3081.024315,-2600.95,-3234.1,1.113840027,177.9,0,0,0,N,12
1958,-2490.258737,-2235.95,-2642.35,1.143046797,139.1,1,1,1,L,21
1959,-2822.472413,-2452.75,-2961.15,1.2041155,174.2,0,0,0,N,34
1960,-2702.392159,-2363.05,-2861.75,0.642548955,99,0,0,0,N,21
1961,-2967.478109,-2412.6,-3119.1,0.818453369,114.4,0,0,0,N,29
1962,-3437.919577,-2983.25,-3597.75,1.323597743,170.6,0,0,1,U,17
1963,-2807.05,-2384.7,-3130.05,1.597743113,231.6,1,1,1,L,17
1964,-2745.25,-2520.85,-3222.5,0.976435446,160.7,0,0,0,N,19
1965,-3043.4,-2846.5,-3416.75,1.212744773,197.1,1,1,1,L,16
1966,-2907.2,-2767,-3336.8,1.350813143,207.1,0,0,0,N,15
1967,-3208.8,-3056.65,-3604.95,1.129107202,226.5,0,0,0,N,15
1968,-2464.3,-2153.05,-2700.25,1.084910238,143.4,0,0,0,N,17
1969,-2921.85,-2792.325,-3009.35,0.977348758,150.1,0,0,0,N,17
1970,-2659.15,-2161.35,-2709.95,0.768865395,130.7,0,0,0,N,22
1971,-3003.4,-2663.25,-3120.75,1.068311244,189.2,0,0,0,N,12
1972,-3350.8,-3034.8,-3539.15,1.269166943,200.5,1,1,1,L,14
1973,-2624.45,-2337.85,-2886.85,0.981081978,151,0,0,0,N,22
1974,-3304.65,-2904.15,-3368.4,1.496183206,217.3,1,1,1,L,18
1975,-2567.25,-2236.65,-2766.2,0.811815466,140.8,0,0,0,N,15
1976,-2911.65,-2569.15,-3167.95,1.248589446,196.9,0,0,0,N,19
1977,-2358.5,-1680.35,-2501.8,0.68436774,98.5,0,0,0,N,18
1978,-2752,-2499.2,-2868.45,0.606704281,91.7,0,0,0,N,20
1979,-3295.55,-2850.25,-3483.75,0.728177896,158.6,0,0,0,N,19
1980,-2121.174705,-1855.75,,0.610687023,106.5,0,0,0,N,11
1981,-2282.92442,-1958.5,-2427.05,0.806505144,143.4,0,0,0,N,14
1982,-3212.9,-2762.75,-3325.85,1.183538002,193.5,0,0,0,N,17
1983,-2830,-2483.5,-3063.6,0.771988052,132.5,0,0,0,N,16
1984,-2370.5,-2083.3,-2546.15,0.606040491,91.6,0,0,0,N,19
1985,-3020.05,-2633.55,-3249.25,0.870229008,150.5,0,0,0,N,24
1986,-2657.25,-2320.3,-2879,0.969797544,196.6,0,0,0,N,32
1987,-2136,-2060.55,-2360.25,0.615997345,127.8,0,0,0,N,20
1988,-2311.75,-1886.85,-2413.05,0.681712579,100.8,0,0,0,N,19
1989,-2897.25,-2559.6,-3062.5,0.747427813,102.7,0,0,0,N,17
1990,-2930.5,-2529.25,-3064.75,0.753401925,110.7,0,0,0,N,29
1991,-2969.75,-2555.2,-3146.45,1.036840358,157.8,0,0,0,N,15
1992,-2618.4,-2124.65,-2852.25,1.152339861,185.4,0,0,0,N,30
1993,-2058.75,-1829.75,,0.797212081,113.6,0,0,0,N,22
1994,-2808.471151,-2579.471151,-2945.796587,1.179555261,158.3,0,1,1,M,17
1995,-2425.350077,-2263.3,-2528.2,0.909392632,161.7,0,0,0,N,18
1996,-3115.95,-2970.4,-3125.05,1.356123465,207.5,1,1,1,L,16
1997,-2904.55,-2697.7,-2940.975,1.198805178,169.6,1,1,1,L,16
1998,-2018.35,-1852.8,-2090.8,0.513109857,78.1,0,0,0,N,19
1999,-2080.65,-1922.15,-2032.1,0.906073681,142.6,0,0,0,N,15
2000,-2217.9,-1840.6,-2233.25,0.733488218,110.5,0,0,0,N,26
2001,-2368.2,-1994.2,-2405,0.428144706,67.5,0,0,0,N,19
2002,-2805.75,-2410.65,-2913.05,0.95784932,148.3,0,0,0,N,19
2003,-2720.25,-2107.85,-2714.5,1.174244939,173.9,0,0,0,N,22
2004,-2580,-2175.95,-2625.85,0.756057086,97.3,0,0,0,N,23
2005,-2612.4,-2211.05,-2667.2,0.915366744,119.8,0,0,0,N,21
2006,-1615.178908,-1503.65,-1691.85,0.360438102,70.5,0,0,0,N,19
2007,-2569.383829,-2340.55,-2622.15,1.376037172,181.6,0,0,1,S,15
2008,-2881.4,-2179.2,-2891.2,0.49385994,74,0,0,1,S,21
2009,-2751.318865,-2335.85,-2819.55,0.941918354,140.7,0,0,0,N,20
2010,-1914.528831,-1848.85,-2073.8,0.663790242,79.2,0,0,0,N,13
2011,-2611.8,-2338.5,-2748.65,1.193494856,180.4,0,0,0,N,15
2012,-2083.303022,-1786.55,-2267.95,0.765350149,108.9,0,0,0,N,22
2013,-2951.55,-2586.45,-3052.85,1.146365748,149.2,0,0,0,N,13
2014,-3290.4,-2541,-3309.85,1.540657152,232.1,1,1,1,L,21
2015,-2599.8,-2118.45,-2730.491445,1.630268835,246.2,0,0,0,N,23
2016,-2086.75,-1671.05,-2202.734928,0.770660471,122.9,0,0,0,N,16
2017,-2140.873813,-1981.25,-2335.624161,0.813143047,136.9,0,0,0,N,29
2018,-2807.264763,-2448.65,-2854.918038,1.350149353,203.4,0,0,1,S,11
2019,-2429.2,-2257.95,-2572,0.984400929,148.3,0,0,0,N,29
2020,-2648,-2420,-2893,0.9956854,150,0,0,1,S,13
