Year,AllLM,AllLMS
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,1,1
1920,1,1
1921,0,0
1922,1,1
1923,0,0
1924,0,0
1925,0,1
1926,1,1
1927,0,0
1928,0,0
1929,0,0
1930,0,1
1931,0,0
1932,1,1
1933,1,1
1934,1,1
1935,0,1
1936,0,1
1937,1,1
1939,0,0
1940,0,1
1941,1,1
1943,1,1
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1949,0,0
1950,0,0
1951,1,1
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,1,1
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,1,1
1964,0,0
1965,1,1
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,1,1
1973,0,0
1974,1,1
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,1,1
1997,1,1
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,1,1
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
